Added Component: Designator=U26(HB-CQFP_84q1933¡Á1933¡Á280_p50 - duplicate)
Added Pin To Net: NetName=NetU20_6 Pin=U26-1
Added Pin To Net: NetName=NetR66_1 Pin=U26-2
Added Pin To Net: NetName=GND Pin=U26-3
Added Pin To Net: NetName=NetU17_5 Pin=U26-4
Added Pin To Net: NetName=NetR66_1 Pin=U26-5
Added Pin To Net: NetName=GND Pin=U26-6
Added Pin To Net: NetName=A_5V Pin=U26-7
Added Pin To Net: NetName=A_5V Pin=U26-8
Added Pin To Net: NetName=GND Pin=U26-9
Added Pin To Net: NetName=GND Pin=U26-10
Added Pin To Net: NetName=GND Pin=U26-11
Added Pin To Net: NetName=DGND Pin=U26-12
Added Pin To Net: NetName=NetR71_2 Pin=U26-13
Added Pin To Net: NetName=NetR71_2 Pin=U26-14
Added Pin To Net: NetName=NetU9_73 Pin=U26-15
Added Pin To Net: NetName=NetU9_83 Pin=U26-16
Added Pin To Net: NetName=NetR68_1 Pin=U26-17
Added Pin To Net: NetName=NetU9_74 Pin=U26-21
Added Pin To Net: NetName=NetU9_70 Pin=U26-22
Added Pin To Net: NetName=NetU9_69 Pin=U26-23
Added Pin To Net: NetName=NetU9_68 Pin=U26-24
Added Pin To Net: NetName=NetU9_67 Pin=U26-25
Added Pin To Net: NetName=DGND Pin=U26-26
Added Pin To Net: NetName=D_3V3 Pin=U26-27
Added Pin To Net: NetName=D_3V3 Pin=U26-28
Added Pin To Net: NetName=D_3V3 Pin=U26-29
Added Pin To Net: NetName=D_3V3 Pin=U26-30
Added Pin To Net: NetName=DGND Pin=U26-31
Added Pin To Net: NetName=DGND Pin=U26-32
Added Pin To Net: NetName=DGND Pin=U26-33
Added Pin To Net: NetName=DGND Pin=U26-34
Added Pin To Net: NetName=D_1V8 Pin=U26-35
Added Pin To Net: NetName=D_1V8 Pin=U26-36
Added Pin To Net: NetName=NetR70_1 Pin=U26-37
Added Pin To Net: NetName=NetU9_55 Pin=U26-38
Added Pin To Net: NetName=NetU9_54 Pin=U26-39
Added Pin To Net: NetName=FORMAT2 Pin=U26-40
Added Pin To Net: NetName=FORMAT1 Pin=U26-41
Added Pin To Net: NetName=FORMAT0 Pin=U26-42
Added Pin To Net: NetName=MODE1 Pin=U26-43
Added Pin To Net: NetName=MODE0 Pin=U26-44
Added Pin To Net: NetName=NetR69_2 Pin=U26-45
Added Pin To Net: NetName=NetR69_2 Pin=U26-46
Added Pin To Net: NetName=NetR69_2 Pin=U26-47
Added Pin To Net: NetName=NetU9_48 Pin=U26-48
Added Pin To Net: NetName=NetU9_47 Pin=U26-49
Added Pin To Net: NetName=NetU9_46 Pin=U26-50
Added Pin To Net: NetName=NetU9_45 Pin=U26-51
Added Pin To Net: NetName=NetU9_44 Pin=U26-52
Added Pin To Net: NetName=GND Pin=U26-53
Added Pin To Net: NetName=GND Pin=U26-54
Added Pin To Net: NetName=A_5V Pin=U26-55
Added Pin To Net: NetName=A_5V Pin=U26-56
Added Pin To Net: NetName=GND Pin=U26-57
Added Pin To Net: NetName=GND Pin=U26-60
Added Pin To Net: NetName=GND Pin=U26-63
Added Pin To Net: NetName=GND Pin=U26-66
Added Pin To Net: NetName=GND Pin=U26-69
Added Pin To Net: NetName=A_5V Pin=U26-70
Added Pin To Net: NetName=A_5V Pin=U26-71
Added Pin To Net: NetName=GND Pin=U26-72
Added Pin To Net: NetName=AD_REF Pin=U26-74
Added Pin To Net: NetName=GND Pin=U26-75
Added Pin To Net: NetName=GND Pin=U26-76
Added Pin To Net: NetName=GND Pin=U26-77
Added Pin To Net: NetName=A_5V Pin=U26-78
Added Pin To Net: NetName=A_5V Pin=U26-79
Added Pin To Net: NetName=GND Pin=U26-82
Added Pin To Net: NetName=NetU22_6 Pin=U26-83
Added Pin To Net: NetName=NetR66_1 Pin=U26-84
Added Member To Class: ClassName=U_ADC Member=Component U26 ADS1278SHKP-THA-SQFP84
